household_id,dma,subscription_tier,primary_device,signup_date,is_active
1,Boston MA,Standard,Samsung TV,2024-06-17,true
2,Portland OR,Premium Ad-Free,Roku,2024-09-08,true
3,Detroit MI,Standard,Android phone,2026-05-06,true
4,Dallas-Ft Worth TX,Standard,Samsung TV,2026-02-22,true
5,Dallas-Ft Worth TX,Premium,iPad,2024-01-31,true
6,Baltimore MD,Standard,iPhone,2024-03-12,true
7,Boston MA,Premium,iPad,2024-04-04,true
8,Detroit MI,Standard,Samsung TV,2025-12-24,true
9,Philadelphia PA,Basic,Roku,2024-06-14,true
10,Boston MA,Premium,Fire TV Stick,2026-05-24,true
11,Denver CO,Basic,Samsung TV,2026-01-13,true
12,Columbus OH,Basic,Samsung TV,2024-07-02,true
13,Minneapolis MN,Standard,iPad,2023-12-28,false
14,Portland OR,Premium,Samsung TV,2023-10-28,true
15,Minneapolis MN,Premium,iPad,2022-05-30,true
16,Portland OR,Basic,Fire TV Stick,2022-12-18,true
17,Denver CO,Basic,Samsung TV,2025-01-05,true
18,New York NY,Premium Ad-Free,iPad,2023-04-10,true
19,Nashville TN,Basic,Roku,2026-03-30,true
20,Seattle WA,Basic,Apple TV,2022-12-13,false
21,Denver CO,Basic,iPad,2024-12-26,false
22,Atlanta GA,Standard,iPhone,2023-05-16,true
23,Hartford CT,Premium,iPad,2022-06-17,true
24,St Louis MO,Premium,iPhone,2023-08-13,true
25,Portland OR,Standard,iPad,2022-09-05,true
26,Miami FL,Basic,Web browser,2026-08-12,true
27,Dallas-Ft Worth TX,Standard,Web browser,2025-12-02,true
28,Nashville TN,Standard,Roku,2023-12-13,true
29,Denver CO,Basic,iPhone,2024-04-26,true
30,Dallas-Ft Worth TX,Basic,Roku,2026-02-19,true
31,Seattle WA,Basic,Fire TV Stick,2023-07-20,true
32,Philadelphia PA,Basic,Apple TV,2026-05-28,true
33,Boston MA,Standard,Android phone,2022-05-16,true
34,Phoenix AZ,Standard,Samsung TV,2025-12-24,false
35,Baltimore MD,Basic,iPad,2024-09-24,true
36,Boston MA,Standard,Apple TV,2023-02-05,true
37,Baltimore MD,Premium,iPhone,2024-06-07,true
38,Nashville TN,Premium,iPad,2023-06-10,true
39,Chicago IL,Premium,Web browser,2023-08-13,true
40,Miami FL,Standard,Fire TV Stick,2022-07-21,true
